"team","country","overall_points_team","status","overall_points_country","percentage","flag","text","stadium","latitude","longitude"
"FK Kyzylzhar","Kazakhstan",0.375,"out",1.125,33.3,":kz:","Kazakhstan: 1.125 points","Avangard Stadium",54.874085,69.152074
"FK Liepaja","Latvia",0.25,"out",2.75,9.1,":lv:","Latvia: 2.75 points","Daugava Stadium",56.502952,20.995424
"FK Panevezys","Lithuania",0.125,"out",2.375,5.3,":lt:","Lithuania: 2.375 points","Aukštaitija Stadium",55.739167,24.359444
"FK Shkupi","North Macedonia",0.375,"out",1.625,23.1,":mk:","North Macedonia: 1.625 points","Cair Stadium",42.0155,21.4443
"Flora Tallinn","Estonia",0.333,"out",1.167,28.6,":ee:","Estonia: 1.167 points","A. Le Coq Arena",59.421292,24.73205
"Floriana","Malta",0.125,"out",2.625,4.8,":mt:","Malta: 2.625 points","Ta' Qali National Stadium",35.894863888,14.415372222
"Gabala FK","Azerbaijan",0.25,"out",3.25,7.7,":az:","Azerbaijan: 3.25 points","Gabala City Stadium",40.985194444,47.8425
"Gil Vicente","Portugal",0.25,"out",9.667,2.6,":pt:","Portugal: 9.667 points","Estádio Cidade de Barcelos",41.533888888,-8.611111111
"GNK Dinamo","Croatia",2.875,"out",3.375,85.2,":hr:","Croatia: 3.375 points","Stadion Maksimir",45.818858333,16.018077777
"Gzira United","Malta",0.75,"out",2.625,28.6,":mt:","Malta: 2.625 points","Ta' Qali National Stadium",35.894863888,14.415372222
"Hajduk Split","Croatia",0.25,"out",3.375,7.4,":hr:","Croatia: 3.375 points","Stadion Poljud",43.519444,16.431667
"Hamrun Spartans","Malta",1.125,"out",2.625,42.9,":mt:","Malta: 2.625 points","Victor Tedesco Stadium",35.8873,14.4925
"Hapoel Beer-Sheva","Israel",2.25,"not out",5.75,39.1,":il:","Israel: 5.75 points","Turner Stadium",31.2731,34.7794
"HB Torshavn","Faroe Islands",0.25,"out",2.25,11.1,":fo:","Faroe Islands: 2.25 points","Gundadalur",62.0193487,-6.7811394
"Hearts FC","Scotland",0.8,"not out",3.5,22.9,":gb-sct:","Scotland: 3.5 points","Tynecastle Park",55.939167,-3.232222
"Hibernians FC","Malta",0.625,"out",2.625,23.8,":mt:","Malta: 2.625 points","Hibernians Stadium",35.882861111,14.513027777
"HJK Helsinki","Finland",1.375,"not out",2.625,52.4,":fi:","Finland: 2.625 points","Finnair Stadium",60.18689398,24.92606242
"IF Elfsborg","Sweden",0,"out",5.75,0,":se:","Sweden: 5.75 points","Borås Arena",57.73457,12.934334
"Inter Club d'Escaldes","Andorra",0.5,"out",0.667,75,":ad:","Andorra: 0.667 points","Estadi Comunal d'Aixovall",42.476389,1.487667
"Inter Turku","Finland",0.25,"out",2.625,9.5,":fi:","Finland: 2.625 points","Veritas Stadion",60.442778,22.291667
"Internazionale","Italy",2.286,"not out",11.071,20.6,":it:","Italy: 11.071 points","Stadio Giuseppe Meazza",45.478055,9.123947
"Iskra Danilovgrad","Montenegro",0.125,"out",1,12.5,":me:","Montenegro: 1 points","Braca Velaševic Stadium",42.55408333,19.10294444
"Istanbul Basaksehir","Turkey",2.6,"not out",8.4,31,":tr:","Turkey: 8.4 points","Atatürk Olympic Stadium",41.074472222,28.765702777
"Juventus","Italy",0.857,"not out",11.071,7.7,":it:","Italy: 11.071 points","Juventus Stadium",45.1096276,7.6412431
"Kairat Almaty","Kazakhstan",0,"out",1.125,0,":kz:","Kazakhstan: 1.125 points","Almaty Central Stadium",43.238331,76.92435
"Kauno Zalgiris","Lithuania",0.125,"out",2.375,5.3,":lt:","Lithuania: 2.375 points","Darius and Girenas Stadium",54.897222,23.936944
"KF Laçi","Albania",0.5,"out",0.875,57.1,":al:","Albania: 0.875 points","Laçi Stadium",41.64248,19.711672
"KF Llapi","Kosovo",0.125,"out",2.875,4.3,":xk:","Kosovo: 2.875 points","City Stadium",42.905,21.19472222
"KF Tirana","Albania",0,"out",0.875,0,":al:","Albania: 0.875 points","Selman Stërmasi Stadium",41.31898056,19.81138333
"KI Klaksvik","Faroe Islands",0.875,"out",2.25,38.9,":fo:","Faroe Islands: 2.25 points","Djúpumýra Stadium",62.225246,-6.579201
