"country","team","scored_points","status"
"Cyprus","Aris Limassol",0.2,"out"
"Austria","FC Salzburg",2.2,"out"
"Austria","Sturm Graz",1.2,"out"
"Austria","Rapid Wien",0.6,"out"
"Austria","Wolfsberger AC",0.5,"out"
"Austria","Austria Wien",0.4,"out"
"Bulgaria","Ludogorets Razgrad",2.875,"out"
"Bulgaria","CSKA Sofia",0.875,"out"
"Bulgaria","Levski Sofia",0.625,"out"
"Bulgaria","Botev Plovdiv",0.125,"out"
"Azerbaijan","Qarabag FK",3.125,"out"
"Azerbaijan","Neftchi Baku",0.5,"out"
"Azerbaijan","Gabala FK",0.25,"out"
"Azerbaijan","Zira FK",0.125,"out"
"Moldova","Sheriff Tiraspol",2.5,"out"
"Moldova","Petrocub Hîncesti",0.75,"out"
"Moldova","Milsami Orhei",0.5,"out"
"Moldova","Sfântul Gheorghe",0,"out"
