"","club","clubLabel","venue","venueLabel","coordinates","breitengrad","laengengrad"
"92","http://www.wikidata.org/entity/Q107421","VfB Stuttgart II","http://www.wikidata.org/entity/Q317837","Gazi-Stadion auf der Waldau","9.188417 48.753944","48.753944","9.188417"
"93","http://www.wikidata.org/entity/Q101859","VfL Wolfsburg","http://www.wikidata.org/entity/Q323718","VfL-Stadion am Elsterweg","10.799417 52.425306","52.425306","10.799417"
"94","http://www.wikidata.org/entity/Q48953","Wycombe Wanderers F.C.","http://www.wikidata.org/entity/Q351946","Adams Park","-0.800277777 51.630555555","51.630555555","-0.800277777"
"95","http://www.wikidata.org/entity/Q105861","VfL Bochum","http://www.wikidata.org/entity/Q373769","Ruhrstadion","7.236489 51.489944","51.489944","7.236489"
"96","http://www.wikidata.org/entity/Q126334","RC Strasbourg","http://www.wikidata.org/entity/Q374883","Stade de la Meinau","7.754969 48.560064","48.560064","7.754969"
"97","http://www.wikidata.org/entity/Q105254","1. FSV Mainz 05","http://www.wikidata.org/entity/Q392494","Opel Arena","8.224167 49.984167","49.984167","8.224167"
"98","http://www.wikidata.org/entity/Q48951","Southend United F.C.","http://www.wikidata.org/entity/Q475446","Roots Hall","0.701556 51.549","51.549","0.701556"
"99","http://www.wikidata.org/entity/Q82948","Kuala Lumpur FA","http://www.wikidata.org/entity/Q567218","KLFA Stadium","101.721372222 3.100536111","3.100536111","101.721372222"
"100","http://www.wikidata.org/entity/Q105853","Karlsruher SC","http://www.wikidata.org/entity/Q590268","Wildparkstadion","8.413055555 49.02","49.02","8.413055555"
"101","http://www.wikidata.org/entity/Q113046","Joe Public F.C.","http://www.wikidata.org/entity/Q617575","Marvin Lee Stadium","-61.384761 10.641608","10.641608","-61.384761"
"102","http://www.wikidata.org/entity/Q48949","Rochdale A.F.C.","http://www.wikidata.org/entity/Q619466","Spotland Stadium","-2.18 53.620833","53.620833","-2.18"
"103","http://www.wikidata.org/entity/Q73971","Clube Náutico Capibaribe","http://www.wikidata.org/entity/Q640421","Estádio dos Aflitos","-34.896667 -8.040556","-8.040556","-34.896667"
"104","http://www.wikidata.org/entity/Q113000","KV Mechelen","http://www.wikidata.org/entity/Q649755","AFAS Stadion KV Mechelen","4.486389 51.037222","51.037222","4.486389"
"105","http://www.wikidata.org/entity/Q124518","CD Málaga","http://www.wikidata.org/entity/Q695879","La Rosaleda Stadium","-4.426422 36.734092","36.734092","-4.426422"
"106","http://www.wikidata.org/entity/Q84036","La Horquetta Rangers F.C.","http://www.wikidata.org/entity/Q702811","Hasely Crawford Stadium","-61.533033 10.661522","10.661522","-61.533033"
"107","http://www.wikidata.org/entity/Q113009","Defence Force F.C.","http://www.wikidata.org/entity/Q702811","Hasely Crawford Stadium","-61.533033 10.661522","10.661522","-61.533033"
"108","http://www.wikidata.org/entity/Q105844","Arminia Bielefeld","http://www.wikidata.org/entity/Q706435","Bielefelder Alm","8.516944 52.031389","52.031389","8.516944"
"109","http://www.wikidata.org/entity/Q59839","Atlético de Rafaela","http://www.wikidata.org/entity/Q740225","Estadio Nuevo Monumental","-61.48138889 -31.25083333","-31.25083333","-61.48138889"
"110","http://www.wikidata.org/entity/Q84044","Central F.C.","http://www.wikidata.org/entity/Q757535","Ato Boldon Stadium","-61.41722222 10.42472222","10.42472222","-61.41722222"
"111","http://www.wikidata.org/entity/Q73965","Al-Hilal SFC","http://www.wikidata.org/entity/Q763077","King Fahd International Stadium","46.839236 24.788206","24.788206","46.839236"
"112","http://www.wikidata.org/entity/Q75407","Al-Mina'a SC","http://www.wikidata.org/entity/Q764402","Al Mina'a Stadium","47.778155 30.552356","30.552356","47.778155"
"113","http://www.wikidata.org/entity/Q126301","Al-Salmiya SC","http://www.wikidata.org/entity/Q784379","Thamir Stadium","48.088333333 29.340833333","29.340833333","48.088333333"
"114","http://www.wikidata.org/entity/Q114818","Metallurg Bekabad","http://www.wikidata.org/entity/Q797808","Metallurg Bekabad Stadium","69.27919 40.213367","40.213367","69.27919"
"115","http://www.wikidata.org/entity/Q75684","S.C. Braga","http://www.wikidata.org/entity/Q849239","Estádio Municipal de Braga","-8.4308 41.5624","41.5624","-8.4308"
"116","http://www.wikidata.org/entity/Q80886","Club Atlético Tigre","http://www.wikidata.org/entity/Q1067384","Estadio José Dellagiovanna","-58.542219 -34.449333","-34.449333","-58.542219"
"117","http://www.wikidata.org/entity/Q49711","Maccabi Petah Tikva F.C.","http://www.wikidata.org/entity/Q1129090","HaMoshava Stadium","34.865078 32.104197","32.104197","34.865078"
"118","http://www.wikidata.org/entity/Q54988","FC Baku","http://www.wikidata.org/entity/Q1138958","Tofiq Bahramov Stadium","49.852417 40.397333","40.397333","49.852417"
"119","http://www.wikidata.org/entity/Q120705","Dalkurd FF","http://www.wikidata.org/entity/Q1238576","Domnarvsvallen","15.434166666 60.495","60.495","15.434166666"
"120","http://www.wikidata.org/entity/Q79380","Zhejiang Professional F.C.","http://www.wikidata.org/entity/Q1302940","Yellow Dragon Sports Center","120.129 30.2683","30.2683","120.129"
"121","http://www.wikidata.org/entity/Q73996","KF Skënderbeu Korçë","http://www.wikidata.org/entity/Q1336599","Skënderbeu Stadium","20.782778 40.625833","40.625833","20.782778"
"122","http://www.wikidata.org/entity/Q58266","Ghaxaq F.C.","http://www.wikidata.org/entity/Q1354010","Ta' Qali National Stadium","14.415372222 35.894863888","35.894863888","14.415372222"
"123","http://www.wikidata.org/entity/Q60880","Qrendi F.C.","http://www.wikidata.org/entity/Q1354010","Ta' Qali National Stadium","14.415372222 35.894863888","35.894863888","14.415372222"
"124","http://www.wikidata.org/entity/Q75801","Mdina Knights F.C.","http://www.wikidata.org/entity/Q1354010","Ta' Qali National Stadium","14.415372222 35.894863888","35.894863888","14.415372222"
"125","http://www.wikidata.org/entity/Q75836","Luqa St. Andrew's F.C.","http://www.wikidata.org/entity/Q1354010","Ta' Qali National Stadium","14.415372222 35.894863888","35.894863888","14.415372222"
"126","http://www.wikidata.org/entity/Q80351","Senglea Athletic F.C.","http://www.wikidata.org/entity/Q1354010","Ta' Qali National Stadium","14.415372222 35.894863888","35.894863888","14.415372222"
"127","http://www.wikidata.org/entity/Q80899","Unión de Santa Fe","http://www.wikidata.org/entity/Q1369026","Estadio 15 de Abril","-60.715867 -31.631853","-31.631853","-60.715867"
"128","http://www.wikidata.org/entity/Q112528","SpVgg Landshut","http://www.wikidata.org/entity/Q1384007","Q1384007","12.1383 48.5322","48.5322","12.1383"
"129","http://www.wikidata.org/entity/Q82429","C.S. Herediano","http://www.wikidata.org/entity/Q1656772","Estadio Eladio Rosabal Cordero","-84.123065 9.99963","9.99963","-84.123065"
"130","http://www.wikidata.org/entity/Q81566","KS Vllaznia Shkodër","http://www.wikidata.org/entity/Q1870384","Loro Boriçi Stadium","19.506558 42.070031","42.070031","19.506558"
"131","http://www.wikidata.org/entity/Q48950","Rotherham United F.C.","http://www.wikidata.org/entity/Q1983118","New York Stadium","-1.362 53.4279","53.4279","-1.362"
"132","http://www.wikidata.org/entity/Q127904","CD San José","http://www.wikidata.org/entity/Q2017250","Estadio Jesús Bermúdez","-67.111564 -17.946211","-17.946211","-67.111564"
"133","http://www.wikidata.org/entity/Q94571","Club Blooming","http://www.wikidata.org/entity/Q2628469","Estadio Ramón Tahuichi Aguilera","-63.183873 -17.796067","-17.796067","-63.183873"
"134","http://www.wikidata.org/entity/Q72844","Ettifaq FC","http://www.wikidata.org/entity/Q2650633","Prince Mohamed bin Fahd Stadium","50.1141 26.4272","26.4272","50.1141"
"135","http://www.wikidata.org/entity/Q81635","KF Teuta Durrës","http://www.wikidata.org/entity/Q3300718","Niko Dovana Stadium","19.44944444 41.32583333","41.32583333","19.44944444"
"136","http://www.wikidata.org/entity/Q81635","KF Teuta Durrës","http://www.wikidata.org/entity/Q3300718","Niko Dovana Stadium","19.449856 41.326081","41.326081","19.449856"
